,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,region,day
alsace_2019/01/01,6,5,12,90,7.625,82,8:23:0,alsace,2019/01/01
aquitaine_2019/01/01,9,2,8,95,6.5,36,8:52:0,aquitaine,2019/01/01
ardeche_2019/01/01,8,5,17,86,10,22,8:52:0,ardeche,2019/01/01
auvergne_2019/01/01,7,3,8,92,5.375,53,8:45:0,auvergne,2019/01/01
bourgogne_2019/01/01,6,3,8,93,6.5,79,8:33:0,bourgogne,2019/01/01
bretagne_2019/01/01,10,7,13,92,10,87,8:27:0,bretagne,2019/01/01
centre_2019/01/01,7,6,5,93,7,87,8:28:0,centre,2019/01/01
champagne-ardenne_2019/01/01,8,6,13,92,9,95,8:17:0,champagne-ardenne,2019/01/01
corse_2019/01/01,14,11,7,61,10,8,9:11:0,corse,2019/01/01
franche-comte_2019/01/01,4,3,4,95,4.25,87,8:34:0,franche-comte,2019/01/01
ile-de-re_2019/01/01,9,5,18,90,10,35,8:42:0,ile-de-re,2019/01/01
ile-de-france_2019/01/01,9,7,9,86,9,93,8:20:0,ile-de-france,2019/01/01
languedoc-roussillon_2019/01/01,14,9,17,68,10,4,9:0:0,languedoc-roussillon,2019/01/01
limousin_2019/01/01,6,3,11,90,8.375,47,8:45:0,limousin,2019/01/01
lorraine_2019/01/01,5,4,16,92,9,94,8:18:0,lorraine,2019/01/01
midi-pyrenees_2019/01/01,6,3,12,88,10,16,9:1:0,midi-pyrenees,2019/01/01
nord-pas-de-calais_2019/01/01,9,7,17,89,8.625,85,8:7:0,nord-pas-de-calais,2019/01/01
normandie_2019/01/01,10,8,14,87,10,90,8:18:0,normandie,2019/01/01
pays-de-la-loire_2019/01/01,9,4,10,94,9,63,8:34:0,pays-de-la-loire,2019/01/01
picardie_2019/01/01,9,6,16,91,8.625,81,8:11:0,picardie,2019/01/01
poitou-charentes_2019/01/01,9,5,17,90,10,35,8:42:0,poitou-charentes,2019/01/01
rh-ne-alpes_2019/01/01,6,5,15,91,9,78,8:44:0,rh-ne-alpes,2019/01/01
provence-alpes-c-te-d-azur_2019/01/01,14,11,12,66,10,8,9:2:0,provence-alpes-c-te-d-azur,2019/01/01
alsace_2019/01/02,5,2,18,78,9.5,72,8:24:0,alsace,2019/01/02
aquitaine_2019/01/02,9,4,14,92,9,28,8:53:0,aquitaine,2019/01/02
ardeche_2019/01/02,6,3,37,71,10,11,8:53:0,ardeche,2019/01/02
auvergne_2019/01/02,4,1,16,88,6.375,50,8:46:0,auvergne,2019/01/02
bourgogne_2019/01/02,5,2,18,85,9,27,8:34:0,bourgogne,2019/01/02
bretagne_2019/01/02,8,5,15,89,9,57,8:28:0,bretagne,2019/01/02
centre_2019/01/02,7,3,14,86,9,44,8:29:0,centre,2019/01/02
champagne-ardenne_2019/01/02,6,3,14,85,9.875,62,8:18:0,champagne-ardenne,2019/01/02
corse_2019/01/02,15,11,8,65,10,2,9:12:0,corse,2019/01/02
franche-comte_2019/01/02,3,2,12,90,7.375,68,8:35:0,franche-comte,2019/01/02
ile-de-re_2019/01/02,8,7,24,87,10,43,8:43:0,ile-de-re,2019/01/02
ile-de-france_2019/01/02,8,5,12,76,10,35,8:21:0,ile-de-france,2019/01/02
languedoc-roussillon_2019/01/02,13,9,23,60,10,1,9:1:0,languedoc-roussillon,2019/01/02
limousin_2019/01/02,5,3,14,91,8.75,34,8:46:0,limousin,2019/01/02
lorraine_2019/01/02,4,1,17,85,9.625,48,8:19:0,lorraine,2019/01/02
midi-pyrenees_2019/01/02,7,3,16,90,10,40,9:2:0,midi-pyrenees,2019/01/02
nord-pas-de-calais_2019/01/02,6,4,13,79,10,69,8:8:0,nord-pas-de-calais,2019/01/02
normandie_2019/01/02,9,6,12,75,10,83,8:19:0,normandie,2019/01/02
pays-de-la-loire_2019/01/02,8,6,18,90,9,59,8:35:0,pays-de-la-loire,2019/01/02
picardie_2019/01/02,7,2,13,86,10,51,8:12:0,picardie,2019/01/02
poitou-charentes_2019/01/02,8,7,24,87,10,43,8:43:0,poitou-charentes,2019/01/02
rh-ne-alpes_2019/01/02,5,3,26,81,10,30,8:45:0,rh-ne-alpes,2019/01/02
provence-alpes-c-te-d-azur_2019/01/02,12,10,46,53,10,1,9:3:0,provence-alpes-c-te-d-azur,2019/01/02
alsace_2019/01/03,3,1,5,82,10,44,8:25:0,alsace,2019/01/03
aquitaine_2019/01/03,7,2,15,72,10,23,8:54:0,aquitaine,2019/01/03
ardeche_2019/01/03,5,2,27,57,10,2,8:54:0,ardeche,2019/01/03
auvergne_2019/01/03,3,-2,14,88,7,17,8:47:0,auvergne,2019/01/03
bourgogne_2019/01/03,3,0,17,84,10,8,8:35:0,bourgogne,2019/01/03
bretagne_2019/01/03,6,1,12,86,10,28,8:29:0,bretagne,2019/01/03
centre_2019/01/03,5,1,11,90,10,11,8:30:0,centre,2019/01/03
champagne-ardenne_2019/01/03,5,2,9,90,10,62,8:19:0,champagne-ardenne,2019/01/03
corse_2019/01/03,10,7,10,48,10,13,9:13:0,corse,2019/01/03
franche-comte_2019/01/03,3,-1,14,74,10,6,8:36:0,franche-comte,2019/01/03
ile-de-re_2019/01/03,6,3,27,80,10,31,8:44:0,ile-de-re,2019/01/03
ile-de-france_2019/01/03,7,3,10,83,10,20,8:22:0,ile-de-france,2019/01/03
languedoc-roussillon_2019/01/03,10,6,29,48,10,3,9:2:0,languedoc-roussillon,2019/01/03
limousin_2019/01/03,4,0,14,77,10,5,8:47:0,limousin,2019/01/03
lorraine_2019/01/03,3,0,8,85,10,33,8:20:0,lorraine,2019/01/03
midi-pyrenees_2019/01/03,8,3,7,76,10,5,9:3:0,midi-pyrenees,2019/01/03
nord-pas-de-calais_2019/01/03,6,4,9,79,10,73,8:10:0,nord-pas-de-calais,2019/01/03
normandie_2019/01/03,6,4,8,83,10,54,8:20:0,normandie,2019/01/03
pays-de-la-loire_2019/01/03,6,0,18,88,10,37,8:36:0,pays-de-la-loire,2019/01/03
picardie_2019/01/03,6,2,9,89,10,41,8:13:0,picardie,2019/01/03
poitou-charentes_2019/01/03,6,3,27,80,10,31,8:44:0,poitou-charentes,2019/01/03
rh-ne-alpes_2019/01/03,4,1,24,68,10,1,8:46:0,rh-ne-alpes,2019/01/03
provence-alpes-c-te-d-azur_2019/01/03,12,7,11,54,10,7,9:4:0,provence-alpes-c-te-d-azur,2019/01/03
alsace_2019/01/04,3,1,5,89,10,61,8:26:0,alsace,2019/01/04
aquitaine_2019/01/04,7,1,13,65,10,43,8:55:0,aquitaine,2019/01/04
ardeche_2019/01/04,5,1,22,69,10,27,8:55:0,ardeche,2019/01/04
auvergne_2019/01/04,3,-3,10,88,7,34,8:48:0,auvergne,2019/01/04
bourgogne_2019/01/04,4,,18,87,9.375,31,8:36:0,bourgogne,2019/01/04
bretagne_2019/01/04,6,0,11,89,10,41,8:30:0,bretagne,2019/01/04
centre_2019/01/04,5,0,10,91,8,20,8:32:0,centre,2019/01/04
champagne-ardenne_2019/01/04,4,1,11,92,9,53,8:20:0,champagne-ardenne,2019/01/04
corse_2019/01/04,9,5,8,53,10,32,9:14:0,corse,2019/01/04
franche-comte_2019/01/04,3,0,14,83,9.375,24,8:37:0,franche-comte,2019/01/04
ile-de-re_2019/01/04,6,2,24,80,10,49,8:45:0,ile-de-re,2019/01/04
ile-de-france_2019/01/04,6,2,8,89,10,39,8:23:0,ile-de-france,2019/01/04
languedoc-roussillon_2019/01/04,9,6,32,52,10,27,9:3:0,languedoc-roussillon,2019/01/04
limousin_2019/01/04,5,0,14,77,10,40,8:48:0,limousin,2019/01/04
lorraine_2019/01/04,2,0,9,91,8,56,8:22:0,lorraine,2019/01/04
midi-pyrenees_2019/01/04,7,2,6,54,10,16,9:4:0,midi-pyrenees,2019/01/04
nord-pas-de-calais_2019/01/04,5,2,14,91,10,61,8:11:0,nord-pas-de-calais,2019/01/04
normandie_2019/01/04,6,2,4,89,10,24,8:21:0,normandie,2019/01/04
pays-de-la-loire_2019/01/04,5,,15,91,10,43,8:37:0,pays-de-la-loire,2019/01/04
picardie_2019/01/04,5,1,11,92,10,45,8:14:0,picardie,2019/01/04
poitou-charentes_2019/01/04,6,2,24,80,10,49,8:45:0,poitou-charentes,2019/01/04
rh-ne-alpes_2019/01/04,4,1,20,77,10,13,8:47:0,rh-ne-alpes,2019/01/04
provence-alpes-c-te-d-azur_2019/01/04,10,7,12,49,10,57,9:5:0,provence-alpes-c-te-d-azur,2019/01/04
alsace_2019/01/05,4,2,12,91,6,99,8:27:0,alsace,2019/01/05
aquitaine_2019/01/05,6,1,9,81,10,10,8:56:0,aquitaine,2019/01/05
ardeche_2019/01/05,5,2,31,72,10,26,8:56:0,ardeche,2019/01/05
auvergne_2019/01/05,3,-1,10,86,8,67,8:50:0,auvergne,2019/01/05
bourgogne_2019/01/05,4,0,14,88,8.625,83,8:38:0,bourgogne,2019/01/05
bretagne_2019/01/05,6,1,5,92,10,17,8:31:0,bretagne,2019/01/05
centre_2019/01/05,5,2,9,86,8.375,60,8:33:0,centre,2019/01/05
champagne-ardenne_2019/01/05,5,3,17,94,8.375,97,8:22:0,champagne-ardenne,2019/01/05
corse_2019/01/05,10,8,11,72,10,37,9:15:0,corse,2019/01/05
